element	element-content-type	element-content	attribute	attribute-content
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	sample	complete
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	part	N
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01550a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01550a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01550a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01550a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01551a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01551a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01551a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01551a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01552a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01552a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01552a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01552a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01553a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01553a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01553a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01553a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01554a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01554a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01554a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01554a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01555a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01555a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01555a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01555a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01556a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01556a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01556a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01556a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01557a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01557a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01557a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01557a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01558a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01558a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01558a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01558a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01559a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01559a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01559a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01559a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01560a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01560a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01560a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01560a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01561a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01561a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01561a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01561a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01562a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01562a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01562a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01562a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01563a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01563a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01563a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01563a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01564a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01564a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01564a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01564a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01565a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01565a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01565a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01565a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01566a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01566a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01566a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01566a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01567a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01567a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01567a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01567a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01568a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01568a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01568a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01568a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01569a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01569a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01569a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01569a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01570a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01570a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01570a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01570a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01571a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01571a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01571a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01571a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01572a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01572a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01572a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01572a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01573a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01573a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01573a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 12/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01573a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01574a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01574a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01574a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01574a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01575a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01575a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01575a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 13/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01575a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01576a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01576a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01576a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01576a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01577a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01577a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01577a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 14/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01577a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01578a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01578a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01578a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01578a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01579a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01579a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01579a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 15/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01579a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Recto.		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01580a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Recto.		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01580a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Recto.		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01580a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Recto.		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01580a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Verso.		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP01581a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Verso.		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP01581a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Verso.		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP01581a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 16/16 Verso.		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP01581a
div	elements	|listBibl||p|	type	bibliography
